,act_2018state,act_2018participation,act_2018composite,sat_2018state,sat_2018participation,sat_2018evidence-based_reading_and_writing,sat_2018math,sat_2018total
0,Connecticut,26.0,25.6,Connecticut,100.0,535,519,1053
1,Massachusetts,25.0,25.5,Massachusetts,80.0,562,563,1125
2,New Hampshire,16.0,25.1,New Hampshire,96.0,535,528,1063
3,New York,27.0,24.5,New York,79.0,534,534,1068
4,Michigan,22.0,24.4,Michigan,100.0,511,499,1011
5,Rhode Island,15.0,24.2,Rhode Island,97.0,513,505,1018
6,Vermont,24.0,24.1,Vermont,64.0,565,554,1120
7,Maine,7.0,24.0,Maine,99.0,512,501,1013
8,Colorado,30.0,23.9,Colorado,100.0,519,506,1025
9,Illinois,43.0,23.9,Illinois,99.0,513,506,1019
10,Virginia,24.0,23.9,Virginia,68.0,567,550,1117
11,Delaware,17.0,23.8,Delaware,100.0,505,492,998
12,New Jersey,31.0,23.7,New Jersey,82.0,547,547,1094
13,District of Columbia,32.0,23.6,District of Columbia,92.0,497,480,977
14,Pennsylvania,20.0,23.5,Pennsylvania,70.0,547,539,1086
15,California,27.0,22.7,California,60.0,540,536,1076
16,Indiana,32.0,22.5,Indiana,63.0,542,532,1074
17,Maryland,31.0,22.5,Maryland,76.0,545,535,1080
18,Idaho,36.0,22.3,Idaho,100.0,508,493,1001
19,Washington,24.0,22.2,Washington,69.0,543,538,1081
20,South Dakota,77.0,21.9,South Dakota,3.0,622,618,1240
21,Iowa,68.0,21.8,Iowa,3.0,634,631,1265
22,Kansas,71.0,21.6,Kansas,4.0,633,631,1265
23,Georgia,53.0,21.4,Georgia,70.0,542,522,1064
24,Minnesota,99.0,21.3,Minnesota,4.0,643,655,1298
25,Oregon,42.0,21.3,Oregon,48.0,564,553,1117
26,Alaska,33.0,20.8,Alaska,43.0,562,544,1106
27,Texas,41.0,20.6,Texas,66.0,520,512,1032
28,Wisconsin,100.0,20.5,Wisconsin,3.0,641,653,1294
29,Utah,100.0,20.4,Utah,4.0,480,530,1010
30,North Dakota,98.0,20.3,North Dakota,2.0,640,643,1283
31,Ohio,100.0,20.3,Ohio,18.0,552,547,1099
32,West Virginia,65.0,20.3,West Virginia,28.0,513,486,999
33,Kentucky,100.0,20.2,Kentucky,4.0,630,618,1248
34,Nebraska,100.0,20.1,Nebraska,3.0,629,623,1252
35,Missouri,100.0,20.0,Missouri,4.0,633,629,1262
36,Montana,100.0,20.0,Montana,10.0,606,592,1198
37,Wyoming,100.0,20.0,Wyoming,3.0,633,625,1257
38,Florida,66.0,19.9,Florida,56.0,550,549,1099
39,Tennessee,100.0,19.6,Tennessee,6.0,624,607,1231
40,Arkansas,100.0,19.4,Arkansas,5.0,592,576,1169
41,New Mexico,66.0,19.4,New Mexico,16.0,552,540,1093
42,Oklahoma,100.0,19.3,Oklahoma,8.0,541,521,1062
43,Arizona,66.0,19.2,Arizona,29.0,577,572,1149
44,Louisiana,100.0,19.2,Louisiana,4.0,615,595,1210
45,Alabama,100.0,19.1,Alabama,6.0,595,571,1166
46,North Carolina,100.0,19.1,North Carolina,52.0,554,543,1098
47,Hawaii,89.0,18.9,Hawaii,56.0,480,530,1010
48,Mississippi,100.0,18.6,Mississippi,3.0,630,606,1236
49,South Carolina,100.0,18.3,South Carolina,55.0,547,523,1070
50,Nevada,100.0,17.7,Nevada,23.0,574,566,1140
